index,query,result_title,result_summary,expected_tag,llm_tag,llm_reason,confidence,is_correct,case_key,reviewed
0.0,孕妇 可用 护肤品,平价 补水 保湿 护肤品 推荐,学生党必备的水乳套装，好用不贵。,丢词搜不准,推荐场景衍生内容,"第一步：宏观领域判断。Query是'孕妇可用护肤品'，Title是'平价补水保湿护肤品推荐'，两者都属于【护肤品/化妆品】这个超大行业，宏观领域一致。
第二步：核心诉求与实体分析。Query的核心诉求是'孕妇可用'（特定人群安全需求），核心实体是'护肤品'。Title的核心诉求是'平价补水保湿'（性价比和功能需求），核心实体也是'护肤品'。虽然核心实体相同（都是护肤品），但用户的【核心诉求】发生了明显偏移：从'孕妇专用安全需求'变成了'平价补水保湿功能需求'。这符合类别B【推荐场景衍生内容】的定义：核心实体没变，但用户要做的核心动作/诉求发生了偏移。
第三步：修饰词检查。Query中的'孕妇可用'是重要的限制词，Title完全丢失了这个限制词，但这不是简单的丢词搜不准，因为'孕妇可用'不是修饰主语的定语，而是定义了完全不同的使用场景和需求标准。根据防坑红线，这属于诉求偏移而非丢词。
最终判断：符合【推荐场景衍生内容】的典型特征——实体相同但诉求从特定人群安全需求偏移到通用功能需求。",95,False,孕妇 可用 护肤品 || 平价 补水 保湿 护肤品 推荐 || 学生党必备的水乳套装，好用不贵。,
2.0,护照 办理 流程,中国 护照 的 演变 历史,从清朝到现代，一张小本子背后的国家实力。,推荐场景衍生内容,推荐场景衍生内容,"1. 宏观领域判断：查询'护照办理流程'与结果'中国护照的演变历史'都属于【证件/身份证明文件】超大行业，宏观领域一致。
2. 核心诉求与实体分析：查询的核心实体是'护照'，结果的核心实体也是'护照'，实体未变。但查询的核心诉求是'办理流程'（操作指南/步骤说明），而结果的核心诉求是'演变历史'（发展历程/背景知识），用户的【核心动作/诉求】从获取操作指导偏移到了了解历史背景。
3. 修饰词检查：查询没有丢失具体限制词（如'美国护照'、'2024年办理'等），不存在纵向降维的丢词情况。
4. 结论：符合类别B【推荐场景衍生内容】的定义——核心实体未变，但用户要做的核心动作/诉求发生了明显偏移（从办理流程到历史演变）。",95,True,护照 办理 流程 || 中国 护照 的 演变 历史 || 从清朝到现代，一张小本子背后的国家实力。,
3.0,西湖 龙井 怎么泡,武夷 大红袍 冲泡 技法,中国传统名茶的品鉴与水温控制。,推荐同领域内容,推荐同领域内容,"1. 宏观领域判断：查询'西湖龙井怎么泡'与结果'武夷大红袍冲泡技法'都属于【茶叶冲泡】这一超大行业/类目，宏观领域一致。
2. 核心诉求与实体分析：用户的核心诉求是'怎么泡'（冲泡方法），结果也提供了'冲泡技法'，核心动作/诉求完全一致。核心实体从'西湖龙井'（龙井茶的一种）变为'武夷大红袍'（乌龙茶的一种），两者都是茶叶的具体品种，属于同分类下的兄弟实体替换。
3. 修饰词检查：查询中的'西湖'是龙井茶的地域限定词，但结果替换为完全不同的茶叶品种'武夷大红袍'，这属于核心实体替换而非单纯丢失修饰词。
4. 边界判断：符合类别A【推荐同领域内容】的定义：核心诉求（冲泡方法）没变，仅核心实体从一种茶叶替换为同分类下的另一种茶叶（平行实体替换）。无模糊边界。",95,True,西湖 龙井 怎么泡 || 武夷 大红袍 冲泡 技法 || 中国传统名茶的品鉴与水温控制。,
5.0,第五人格 屠夫,多重 人格 精神分裂 症,心理学深度解析：一个人真的能有五种性格吗？,query理解有误,query理解有误,"第一步：宏观领域跨界判断。Query '第五人格 屠夫' 指游戏《第五人格》中的角色类型（监管者/屠夫），属于游戏领域。Title '多重 人格 精神分裂 症' 和 Summary '心理学深度解析：一个人真的能有五种性格吗？' 讨论心理学/精神疾病，属于医学/心理学领域。两者属于完全不同的超大行业（游戏 vs 医学/心理学），毫无交集。
第二步：检查是否存在一词多义导致的概念偷换。'人格' 在 Query 中指游戏名称《第五人格》的一部分（专有名词），在 Title/Summary 中指心理学概念'多重人格障碍'（精神疾病）。这属于典型的一词多义（游戏专名 vs 医学术语），导致概念偷换。
第三步：根据判定大纲，完全跨界且存在一词多义导致的概念偷换，应判【query理解有误】。
第四步：确认不适用其他类别：非同领域（核心动作/实体均不同），非场景衍生（领域完全无关），非丢词搜不准（未丢失修饰词，且'人格'是主语/核心实体而非修饰词）。",95,True,第五人格 屠夫 || 多重 人格 精神分裂 症 || 心理学深度解析：一个人真的能有五种性格吗？,
6.0,小米 粥 怎么 熬,小米 SU7 试驾 体验,雷军打造的年轻人的第一台轿车到底如何？,query理解有误,query理解有误,"1. 宏观领域判断：用户查询'小米粥怎么熬'属于【食品烹饪/养生保健】领域，而搜索结果'小米SU7试驾体验'属于【汽车/数码产品】领域，两者属于完全不同的超大行业类别。
2. 多义词分析：'小米'存在明显的一词多义现象——在查询中指谷物（小米），在搜索结果中指品牌（小米公司/小米汽车）。这是典型的概念偷换，而非纯粹的跨界无关联。
3. 核心诉求对比：用户的核心诉求是学习烹饪方法（熬粥），搜索结果提供的是汽车试驾体验，核心动作从'烹饪'变为'驾驶体验'，实体也从'谷物'变为'汽车品牌'。
4. 根据判定大纲：存在'一词多义导致的概念偷换'，应判为【query理解有误】。
5. 置信度评估：边界清晰，'小米'的多义性非常明确，不存在模糊地带。",95,True,小米 粥 怎么 熬 || 小米 SU7 试驾 体验 || 雷军打造的年轻人的第一台轿车到底如何？,
7.0,2024 跨年 晚会,2023 湖南卫视 跨年 演唱会,何炅汪涵领衔，超强明星阵容陪你跨越新年。,丢词搜不准,丢词搜不准,"1. 宏观领域判断：查询'2024跨年晚会'与结果'2023湖南卫视跨年演唱会'同属【文娱/节庆活动】超大领域，无跨界。
2. 核心诉求与实体分析：用户核心诉求（观看跨年晚会）未变，核心实体（跨年晚会）未变，但丢失了关键修饰词'2024'，替换为'2023'，同时增加了'湖南卫视'和'演唱会'等具体信息。
3. 严苛修饰词检查：严格符合类别C定义——主语（跨年晚会）和动作（观看）未变，但丢失了具体限制词'2024'（年份），属于纵向降维。
4. 边界确认：未涉及多义词歧义、实体替换或诉求偏移，符合'丢词搜不准'典型特征。",95,True,2024 跨年 晚会 || 2023 湖南卫视 跨年 演唱会 || 何炅汪涵领衔，超强明星阵容陪你跨越新年。,
8.0,婴儿 奶粉 哪个牌子好,汽车 轮胎 保养 周期,固特异与米其林轮胎的耐磨性对比。,完全不相关,完全不相关,"1. 宏观领域判断：查询是'婴儿奶粉哪个牌子好'，属于母婴用品/婴幼儿食品领域；标题是'汽车轮胎保养周期'，属于汽车配件/保养领域。两者属于完全不同的超大行业，毫无交集。
2. 多义词检查：查询中的'奶粉'和标题中的'轮胎'不存在一词多义导致的概念偷换，两者是纯粹的不同概念。
3. 跨界判定：这是纯粹的跨界且无核心多义词歧义，用户搜索婴儿奶粉推荐，结果给出汽车轮胎保养内容，两者完全不相关。
4. 不适用其他分类：由于完全不相关，无需进入核心诉求与实体判断或丢词检查步骤。",95,True,婴儿 奶粉 哪个牌子好 || 汽车 轮胎 保养 周期 || 固特异与米其林轮胎的耐磨性对比。,
9.0,华为 P70 手机评测,iPhone 15 Pro Max 深度体验,苹果最新旗舰手机的影像与续航实测。,完全不相关,推荐同领域内容,第一步：宏观领域判断。查询'华为 P70 手机评测'与结果'iPhone 15 Pro Max 深度体验'都属于【智能手机/消费电子】这一超大行业，宏观领域一致。第二步：核心诉求与实体分析。查询的核心诉求是'评测'（评估产品性能），结果的核心诉求是'深度体验'（也是评估产品性能），核心动作/诉求未变。核心实体从'华为 P70'变为'iPhone 15 Pro Max'，两者都是智能手机品牌下的具体型号，属于同级实体替换（竞品替换）。这符合类别A【推荐同领域内容】的定义：用户核心诉求（获取手机评测）未变，仅核心实体被替换为同分类下的兄弟实体（竞品手机）。第三步：修饰词检查。查询中的'P70'是华为手机的具体型号，结果中的'15 Pro Max'是苹果手机的具体型号，均为实体本身的一部分，而非修饰主语的限制词/定语（如年份、地域），因此不涉及丢词搜不准。综上，判定为【推荐同领域内容】。置信度高，因为严格符合判例3（剪映教程变PR教程）的竞品替换逻辑。,95,False,华为 P70 手机评测 || iPhone 15 Pro Max 深度体验 || 苹果最新旗舰手机的影像与续航实测。,
10.0,男士 剃须刀,宠物 狗 驱虫 药,狗狗体外驱虫的正确滴法。,完全不相关,完全不相关,第一步：宏观领域跨界判断。用户查询'男士剃须刀'属于个人护理/美容领域，而搜索结果'宠物狗驱虫药'属于宠物医疗/护理领域。两者属于完全不同的超大行业类别，毫无交集。第二步：检查是否存在一词多义导致的概念偷换。'剃须刀'和'驱虫药'之间没有多义词关联，'男士'和'宠物狗'也没有字面重合导致的概念混淆。这是纯粹的跨界且无核心多义词歧义。第三步：根据判定大纲，完全跨界且无多义词歧义的情况应判为'完全不相关'。,95,True,男士 剃须刀 || 宠物 狗 驱虫 药 || 狗狗体外驱虫的正确滴法。,
11.0,盗墓笔记 结局,上课 怎么 记 笔记 最 高效,学霸分享的康奈尔笔记法。,query理解有误,query理解有误,"1. 宏观领域判断：Query '盗墓笔记 结局' 属于小说/影视作品领域，Title '上课 怎么 记 笔记 最 高效' 属于学习方法/教育领域。两者属于完全不同的超大行业/类目，毫无交集。
2. 多义词排雷：'笔记'一词存在多义性。在Query中，'笔记'是小说《盗墓笔记》的简称（专有名词）；在Title中，'笔记'指学习记录（普通名词）。这属于典型的一词多义导致的概念偷换。
3. 根据判定大纲第一步：存在一词多义导致的概念偷换，应判为【query理解有误】。
4. 不适用后续步骤（核心诉求判断、丢词检查），因为宏观领域已完全跨界。",95,True,盗墓笔记 结局 || 上课 怎么 记 笔记 最 高效 || 学霸分享的康奈尔笔记法。,
14.0,纯棉 纯色 短袖,透气 涤纶 运动 短袖,夏季健身跑步速干衣评测。,丢词搜不准,丢词搜不准,"1. 宏观领域判断：查询'纯棉 纯色 短袖'与结果'透气 涤纶 运动 短袖'都属于服装/服饰大类，领域一致。
2. 核心诉求与实体分析：查询的核心诉求是寻找特定材质（纯棉）和款式（纯色）的短袖，核心实体是短袖。结果提供了不同材质（涤纶）、不同功能（运动/速干）的短袖。
3. 严格区分原则应用：用户的核心任务目标（找短袖）一致，但具体对象发生了替换（材质从纯棉变涤纶，款式从纯色变运动款）。这属于核心实体（短袖）未变，但修饰该实体的具体限制词（材质、款式）被替换。
4. 严苛修饰词丢失检查：查询中的'纯棉'和'纯色'是修饰'短袖'的具体限制词/定语，结果丢失了这些关键修饰词，提供了不同属性的短袖。根据判例7和8，这符合'丢词搜不准'的定义（主语'短袖'没变，动作'寻找'没变，丢失了具体限制词）。
5. 防坑红线确认：'纯棉'和'纯色'是典型的定语/限制词，不是主语，因此适用丢词规则。",95,True,纯棉 纯色 短袖 || 透气 涤纶 运动 短袖 || 夏季健身跑步速干衣评测。,
15.0,腾讯 视频 VIP,爱奇艺 黄金会员 充值优惠,爱奇艺独家热播剧追剧必备。,完全不相关,推荐同领域内容,"1. 宏观领域判断：查询'腾讯视频VIP'与结果'爱奇艺黄金会员'都属于【在线视频平台会员服务】这个超大行业，领域一致。
2. 核心诉求分析：用户查询的核心动作是'获取/了解腾讯视频VIP服务'，结果提供的是'爱奇艺黄金会员充值优惠'。核心实体从'腾讯视频'变成了'爱奇艺'，这是同分类下的竞品替换。
3. 核心诉求一致性检查：用户的诉求（获取视频平台会员服务）没有改变，只是具体平台从腾讯视频变成了爱奇艺。
4. 修饰词检查：没有丢失具体限制词（如具体套餐类型、价格等），只是主语实体发生了替换。
5. 边界判断：这符合'同领域'定义中的'竞品替换'情况（判例3：剪映变PR），用户的核心任务目标完全一致（获取视频会员服务），仅具体对象发生同级替换。",95,False,腾讯 视频 VIP || 爱奇艺 黄金会员 充值优惠 || 爱奇艺独家热播剧追剧必备。,
